Country,year,pop_thousands,age_group,sex
Guinea-Bissau,2019,1967.696,Все,Все
Guinea-Bissau,2020,2013.255,Все,Все
Guinea-Bissau,2021,2058.842,Все,Все
Guinea-Bissau,2022,2105.529,Все,Все
Guinea-Bissau,2023,2153.339,Все,Все
Liberia,2019,5043.72,Все,Все
Liberia,2020,5149.464,Все,Все
Liberia,2021,5259.323,Все,Все
Liberia,2022,5373.294,Все,Все
Liberia,2023,5493.031,Все,Все
Mali,2019,21068.404,Все,Все
Mali,2020,21713.836,Все,Все
Mali,2021,22388.63,Все,Все
Mali,2022,23072.64,Все,Все
Mali,2023,23769.128,Все,Все
Mauritania,2019,4467.708,Все,Все
Mauritania,2020,4600.131,Все,Все
Mauritania,2021,4734.874,Все,Все
Mauritania,2022,4875.638,Все,Все
Mauritania,2023,5022.442,Все,Все
Niger,2019,22947.758,Все,Все
Niger,2020,23717.614,Все,Все
Niger,2021,24502.14,Все,Все
Niger,2022,25311.973,Все,Все
Niger,2023,26159.867,Все,Все
Nigeria,2019,209485.641,Все,Все
Nigeria,2020,213996.181,Все,Все
Nigeria,2021,218529.286,Все,Все
Nigeria,2022,223150.896,Все,Все
Nigeria,2023,227882.945,Все,Все
Saint Helena,2019,5.458,Все,Все
Saint Helena,2020,5.43,Все,Все
Saint Helena,2021,5.39,Все,Все
Saint Helena,2022,5.343,Все,Все
Saint Helena,2023,5.288,Все,Все
Senegal,2019,16352.922,Все,Все
Senegal,2020,16789.22,Все,Все
Senegal,2021,17220.866,Все,Все
Senegal,2022,17651.103,Все,Все
Senegal,2023,18077.574,Все,Все
Sierra Leone,2019,7731.991,Все,Все
Sierra Leone,2020,7912.558,Все,Все
Sierra Leone,2021,8094.602,Все,Все
Sierra Leone,2022,8276.807,Все,Все
Sierra Leone,2023,8460.512,Все,Все
Togo,2019,8463.068,Все,Все
Togo,2020,8669.72,Все,Все
Togo,2021,8878.378,Все,Все
Togo,2022,9089.738,Все,Все
Togo,2023,9304.338,Все,Все
Kazakhstan,2019,19209.555,Все,Все
Kazakhstan,2020,19482.117,Все,Все
Kazakhstan,2021,19743.603,Все,Все
Kazakhstan,2022,20034.609,Все,Все
Kazakhstan,2023,20330.104,Все,Все
Kyrgyzstan,2019,6494.035,Все,Все
Kyrgyzstan,2020,6664.14,Все,Все
Kyrgyzstan,2021,6820.478,Все,Все
Kyrgyzstan,2022,6955.788,Все,Все
Kyrgyzstan,2023,7073.516,Все,Все
Tajikistan,2019,9529.966,Все,Все
Tajikistan,2020,9749.31,Все,Все
Tajikistan,2021,9966.908,Все,Все
Tajikistan,2022,10182.222,Все,Все
Tajikistan,2023,10389.798,Все,Все
Turkmenistan,2019,6803.944,Все,Все
Turkmenistan,2020,6949.912,Все,Все
Turkmenistan,2021,7092.044,Все,Все
Turkmenistan,2022,7230.193,Все,Все
Turkmenistan,2023,7364.438,Все,Все
Uzbekistan,2019,32964.701,Все,Все
Uzbekistan,2020,33586.372,Все,Все
Uzbekistan,2021,34243.696,Все,Все
Uzbekistan,2022,34938.956,Все,Все
Uzbekistan,2023,35652.307,Все,Все
China,2019,1423520.358,Все,Все
China,2020,1426106.093,Все,Все
China,2021,1426437.267,Все,Все
China,2022,1425179.569,Все,Все
China,2023,1422584.932,Все,Все
"China, Hong Kong Special Administrative Region",2019,7485.813,Все,Все
"China, Hong Kong Special Administrative Region",2020,7490.236,Все,Все
"China, Hong Kong Special Administrative Region",2021,7484.602,Все,Все
"China, Hong Kong Special Administrative Region",2022,7465.915,Все,Все
"China, Hong Kong Special Administrative Region",2023,7442.734,Все,Все
"China, Macao Special Administrative Region",2019,670.974,Все,Все
"China, Macao Special Administrative Region",2020,683.066,Все,Все
"China, Macao Special Administrative Region",2021,694.402,Все,Все
"China, Macao Special Administrative Region",2022,704.356,Все,Все
"China, Macao Special Administrative Region",2023,713.912,Все,Все
"China, Taiwan Province of China",2019,23674.138,Все,Все
"China, Taiwan Province of China",2020,23663.459,Все,Все
"China, Taiwan Province of China",2021,23558.332,Все,Все
"China, Taiwan Province of China",2022,23420.111,Все,Все
"China, Taiwan Province of China",2023,23317.145,Все,Все
Dem. People's Republic of Korea,2019,26037.632,Все,Все
Dem. People's Republic of Korea,2020,26136.312,Все,Все
Dem. People's Republic of Korea,2021,26232.534,Все,Все
Dem. People's Republic of Korea,2022,26328.845,Все,Все
Dem. People's Republic of Korea,2023,26418.204,Все,Все
Japan,2019,126699.424,Все,Все
Japan,2020,126304.543,Все,Все
Japan,2021,125679.338,Все,Все
Japan,2022,124997.578,Все,Все
Japan,2023,124370.946,Все,Все
Mongolia,2019,3232.114,Все,Все
Mongolia,2020,3290.786,Все,Все
Mongolia,2021,3339.674,Все,Все
Mongolia,2022,3386.015,Все,Все
Mongolia,2023,3431.932,Все,Все
Republic of Korea,2019,51767.846,Все,Все
Republic of Korea,2020,51858.482,Все,Все
Republic of Korea,2021,51848.398,Все,Все
Republic of Korea,2022,51782.512,Все,Все
Republic of Korea,2023,51748.739,Все,Все
Afghanistan,2019,37856.121,Все,Все
Afghanistan,2020,39068.979,Все,Все
Afghanistan,2021,40000.412,Все,Все
Afghanistan,2022,40578.842,Все,Все
Afghanistan,2023,41454.761,Все,Все
Bangladesh,2019,164913.055,Все,Все
Bangladesh,2020,166298.024,Все,Все
Bangladesh,2021,167658.854,Все,Все
Bangladesh,2022,169384.898,Все,Все
Bangladesh,2023,171466.99,Все,Все
Bhutan,2019,764.824,Все,Все
Bhutan,2020,770.006,Все,Все
Bhutan,2021,775.442,Все,Все
Bhutan,2022,780.914,Все,Все
Bhutan,2023,786.385,Все,Все
India,2019,1389030.312,Все,Все
India,2020,1402617.696,Все,Все
India,2021,1414203.896,Все,Все
India,2022,1425423.212,Все,Все
India,2023,1438069.596,Все,Все
Iran (Islamic Republic of),2019,87051.648,Все,Все
Iran (Islamic Republic of),2020,87723.443,Все,Все
Iran (Islamic Republic of),2021,88455.488,Все,Все
Iran (Islamic Republic of),2022,89524.246,Все,Все
Iran (Islamic Republic of),2023,90608.707,Все,Все
Maldives,2019,487.731,Все,Все
Maldives,2020,502.118,Все,Все
Maldives,2021,516.154,Все,Все
Maldives,2022,524.106,Все,Все
Maldives,2023,525.994,Все,Все
Nepal,2019,28414.064,Все,Все
Nepal,2020,28966.574,Все,Все
Nepal,2021,29475.01,Все,Все
Nepal,2022,29715.436,Все,Все
Nepal,2023,29694.614,Все,Все
Pakistan,2019,230800.898,Все,Все
Pakistan,2020,235001.746,Все,Все
Pakistan,2021,239477.8,Все,Все
Pakistan,2022,243700.667,Все,Все
Pakistan,2023,247504.496,Все,Все
Sri Lanka,2019,22410.552,Все,Все
Sri Lanka,2020,22561.807,Все,Все
Sri Lanka,2021,22700.372,Все,Все
Sri Lanka,2022,22834.965,Все,Все
Sri Lanka,2023,22971.617,Все,Все
Brunei Darussalam,2019,442.68,Все,Все
Brunei Darussalam,2020,447.404,Все,Все
Brunei Darussalam,2021,451.72,Все,Все
Brunei Darussalam,2022,455.37,Все,Все
Brunei Darussalam,2023,458.948,Все,Все
Cambodia,2019,16481.304,Все,Все
Cambodia,2020,16725.474,Все,Все
Cambodia,2021,16974.306,Все,Все
Cambodia,2022,17201.724,Все,Все
Cambodia,2023,17423.88,Все,Все
Indonesia,2019,272489.381,Все,Все
Indonesia,2020,274814.866,Все,Все
Indonesia,2021,276758.053,Все,Все
Indonesia,2022,278830.528,Все,Все
Indonesia,2023,281190.066,Все,Все
Lao People's Democratic Republic,2019,7237.636,Все,Все
Lao People's Democratic Republic,2020,7346.532,Все,Все
Lao People's Democratic Republic,2021,7453.194,Все,Все
Lao People's Democratic Republic,2022,7559.008,Все,Все
Lao People's Democratic Republic,2023,7664.992,Все,Все
Malaysia,2019,33440.596,Все,Все
Malaysia,2020,33889.558,Все,Все
Malaysia,2021,34282.398,Все,Все
Malaysia,2022,34695.493,Все,Все
Malaysia,2023,35126.298,Все,Все
Myanmar,2019,52640.713,Все,Все
Myanmar,2020,53016.522,Все,Все
Myanmar,2021,53387.102,Все,Все
Myanmar,2022,53756.788,Все,Все
Myanmar,2023,54133.798,Все,Все
Philippines,2019,110804.684,Все,Все
Philippines,2020,112081.264,Все,Все
Philippines,2021,113100.95,Все,Все
Philippines,2022,113964.338,Все,Все
Philippines,2023,114891.199,Все,Все
Singapore,2019,5669.562,Все,Все
Singapore,2020,5620.15,Все,Все
Singapore,2021,5546.29,Все,Все
Singapore,2022,5649.884,Все,Все
Singapore,2023,5789.09,Все,Все
Thailand,2019,71522.271,Все,Все
Thailand,2020,71641.484,Все,Все
Thailand,2021,71727.332,Все,Все
Thailand,2022,71735.329,Все,Все
Thailand,2023,71702.435,Все,Все
Timor-Leste,2019,1300.944,Все,Все
Timor-Leste,2020,1326.054,Все,Все
Timor-Leste,2021,1350.138,Все,Все
Timor-Leste,2022,1369.296,Все,Все
Timor-Leste,2023,1384.286,Все,Все
Viet Nam,2019,97173.776,Все,Все
Viet Nam,2020,98079.191,Все,Все
Viet Nam,2021,98935.098,Все,Все
Viet Nam,2022,99680.655,Все,Все
Viet Nam,2023,100352.192,Все,Все
Armenia,2019,2903.972,Все,Все
Armenia,2020,2890.892,Все,Все
Armenia,2021,2870.348,Все,Все
Armenia,2022,2880.874,Все,Все
Armenia,2023,2943.393,Все,Все
Azerbaijan,2019,10110.475,Все,Все
Azerbaijan,2020,10181.73,Все,Все
Azerbaijan,2021,10234.37,Все,Все
Azerbaijan,2022,10295.304,Все,Все
Azerbaijan,2023,10318.207,Все,Все
Bahrain,2019,1485.67,Все,Все
Bahrain,2020,1483.077,Все,Все
